county,count,fips,cluster,,meanpc1,c6,c4,,count
Adams,3,1,A,,-3.93439,1,1,,3
Allen,23,3,B,,0.47675,3,3,,23
Ashland,5,5,A,,-3.50861,1,1,,5
Ashtabula,18,7,B,,-0.01249,3,3,,18
Athens,12,9,B,,-0.69764,3,3,,12
Auglaize,8,11,D,,4.43972,2,2,,8
Belmont,10,13,A,,-4.43972,1,1,,10
Brown,2,15,B,,-1.55892,1,1,,2
Butler,70,17,D,,5.29723,2,2,,70
Carroll,2,19,A,,,,3,,2
Champaign,8,21,A,,-2.63726,1,1,,8
Clark,24,23,B,,-0.09205,3,3,,24
Clermont,26,25,D,,5.2161,2,2,,26
Clinton,10,27,B,,-1.36132,1,1,,10
Columbiana,42,29,B,,-0.09467,3,3,,42
Coshocton,11,31,A,,-3.65103,1,1,,11
Crawford,8,33,A,,-2.7302,1,1,,8
Cuyahoga,320,35,C,,3.55567,5,4,,320
Darke,4,37,A,,-2.66864,1,1,,4
Defiance,9,39,B,,-1.60692,1,1,,9
Delaware,42,41,D,,5.41462,2,2,,42
Erie,36,43,C,,1.99613,4,4,,36
Fairfield,48,45,C,,1.63722,4,4,,48
Fayette,6,47,A,,-2.92608,1,1,,6
Franklin,331,49,D,,6.27277,6,2,,331
Fulton,13,51,A,,-2.33172,1,1,,13
Gallia,4,53,A,,-3.82753,1,1,,4
Geauga,5,55,E,,,,2,,5
Greene,27,57,C,,3.42886,5,4,,27
Guernsey,5,59,C,,1.71712,4,4,,5
Hamilton,329,61,D,,4.44669,2,2,,329
Hancock,13,63,B,,-0.47934,3,3,,13
Hardin,4,65,A,,-2.01669,1,1,,4
Harrison,6,67,B,,0.27869,3,3,,6
Henry,5,69,B,,-1.417,1,1,,5
Highland,3,71,A,,3.5675,1,1,,3
Hocking,6,73,B,,0.58522,3,3,,6
Holmes,1,75,C,,2.78729,4,4,,1
Huron,23,77,B,,-0.42564,3,3,,23
Jackson,5,79,A,,-4.1816,1,1,,5
Jefferson,19,81,D,,6.86577,6,2,,19
Knox,6,83,C,,3.08116,5,4,,6
Lake,30,85,D,,4.35838,2,2,,30
Lawrence,10,87,B,,-0.22348,3,3,,10
Licking,32,89,B,,1.32571,4,4,,32
Logan,6,91,A,,-3.09266,1,1,,6
Lorain,75,93,D,,4.66189,2,2,,75
Lucas,147,95,C,,3.91112,5,4,,147
Madison,8,97,A,,-3.59311,1,1,,8
Mahoning,62,99,C,,2.37766,4,4,,62
Marion,16,101,B,,-0.99049,3,3,,16
Medina,30,103,C,,3.85123,5,4,,30
Meigs,9,105,A,,-4.00487,1,1,,9
Mercer,4,107,A,,-4.07401,1,1,,4
Miami,14,109,B,,0.27466,3,3,,14
Monroe,2,111,E,,,,1,,2
Montgomery,132,113,D,,5.87761,2,2,,132
Morgan,5,115,A,,-2.57155,1,1,,5
Morrow,9,117,B,,-0.23673,3,3,,9
Muskingum,34,119,A,,-3.8672,1,1,,34
Noble,3,121,A,,-2.75104,1,1,,3
Ottawa,7,123,B,,0.16139,3,3,,7
Paulding,0,125,B,,,,1,,0
Perry,8,127,A,,-2.49476,1,1,,8
Pickaway,7,129,C,,2.24963,4,4,,7
Pike,2,131,A,,-2.47345,1,1,,2
Portage,28,133,B,,1.13913,4,4,,28
Preble,5,135,A,,-4.1646,1,1,,5
Putnam,6,137,A,,-2.37801,1,1,,6
Richland,23,139,A,,-2.08773,1,1,,23
Ross,13,141,A,,-3.38595,1,1,,13
Sandusky,31,143,A,,-3.27316,1,1,,31
Scioto,21,145,B,,-0.76211,3,3,,21
Seneca,8,147,B,,0.76512,3,3,,8
Shelby,6,149,A,,-2.2901,1,1,,6
Stark,74,151,C,,2.30548,4,4,,74
Summit,93,153,D,,5.68801,2,2,,93
Trumbull,55,155,C,,2.68308,4,4,,55
Tuscarawas,19,157,B,,0.66439,3,3,,19
Union,7,159,B,,-0.76721,3,3,,7
Van Wert,2,161,A,,,,1,,2
Vinton,5,163,A,,-3.09239,1,1,,5
Warren,46,165,D,,5.29689,2,2,,46
Washington,13,167,A,,-2.65954,1,1,,13
Wayne,21,169,B,,-0.22066,3,3,,21
Williams,5,171,A,,-2.52016,1,1,,5
Wood,21,173,C,,3.17724,5,4,,21
Wyandot,3,175,A,,,,1,,3
