Sample,Homolog,ConcDep1,ConcDep2,ConcDep3,ConcDep4,ConcDep5,ConcDep6,ConcDep7,ConcDep8,ConcDep9,ConcDep10,ConcDep11,ConcDep12,ConcDep13,ConcDep14,ConcDep15,ConcDep16,ConcDep17
SLN-T16,1,0.46,3.57,1.07,0.69,333.73,48.51,9436.39,6532.62,13.19,88,,,,,,,
SLN-L,1,8.9,19.63,51.74,171.74,182.66,472.38,3127.59,3151.97,1460.42,1719.46,1464.97,323.42,141.14,204.39,50.47,6.21,1.96
SLN-T16,2,2.73,17.28,5.39,2.99,1209.12,213.98,37924.73,24784.56,56.15,391.25,,,,,,,
SLN-T16,3,4.32,27.38,9.54,4.18,1009.85,145.4,26093.15,25303.94,47.24,230.08,,,,,,,
SLN-T16,4,8.51,22.74,10.37,3.62,1031.91,67.49,9670.24,12584.91,26.84,113.27,,,,,,,
SLN-T16,5,4.93,11.79,7.77,1.57,499.01,43.7,3670.41,6034.05,14.13,58.02,,,,,,,
SLN-T16,6,2.44,5.83,6.15,0.74,141.85,20.03,1532.23,3923.45,6.38,22.21,,,,,,,
SLN-T16,7,0.34,1,1.06,0.15,20.15,3.73,285.79,704.49,1.48,2.77,,,,,,,
SLN-T16,8,0,0,0,0,2.72,0.53,38.99,116.89,0.18,0.29,,,,,,,
SLN-T16,9,0,0,0,0,0.32,0.1,5.01,17.31,0.04,0.06,,,,,,,
SLN-T16,10,0,0,0,0,0.09,0,0.92,3.55,0,0,,,,,,,
SLN-I,1,6,11.31,23.8,42.15,56.41,96.51,113.73,683.87,1301.04,2975.08,3264.43,,,,,,
SLN-I,2,41.75,85.71,193.12,357.97,488.67,713.94,422.22,1541.29,3281.45,15254.65,19733.24,,,,,,
SLN-I,3,120.44,270.1,576.88,1382.21,1526.51,1438,925.86,2807.62,3323.8,11594.65,12215.35,,,,,,
SLN-I,4,305.57,583.25,867.07,1650.91,1561.03,1661.98,1202.81,3207.16,3217.37,6048.17,6011.2,,,,,,
SLN-I,5,238.76,456.63,600.37,987.66,767.93,881.57,534.71,1234.1,1139.55,2040.5,2064.59,,,,,,
SLN-I,6,124.55,250.15,333.86,564.17,426.46,445.37,282.54,708.17,592.5,782.33,886.03,,,,,,
SLN-I,7,18.52,38.15,52.47,92.91,79.79,76.62,49.55,140.29,122.98,144.36,156.63,,,,,,
SLN-I,8,2,5.12,7.75,14.77,13.26,12.86,9.17,24.17,24.22,27.86,28.68,,,,,,
SLN-I,9,0.46,0.85,1.37,2.88,2.43,2.05,1.45,4.06,4,6.3,6.21,,,,,,
SLN-I,10,0.21,0.26,0.51,0.88,0.73,0.67,0.42,1.27,1.03,1.77,2.22,,,,,,
SLN-J,1,9.05,6.63,7.55,8.23,11.63,,,,,,,,,,,,
SLN-J,2,72.24,54.78,68.47,63.91,76.5,,,,,,,,,,,,
SLN-J,3,210.17,160.02,199.41,198.2,210.18,,,,,,,,,,,,
SLN-J,4,508.79,381.63,484.21,483.6,447.26,,,,,,,,,,,,
SLN-J,5,402.25,302.6,385.2,389.73,359,,,,,,,,,,,,
SLN-J,6,208.97,158.52,203.47,202.28,195.6,,,,,,,,,,,,
SLN-J,7,30.95,24.19,28.61,28.49,32.99,,,,,,,,,,,,
SLN-J,8,3.66,2.91,3.33,3.38,4.19,,,,,,,,,,,,
SLN-J,9,0.74,0.53,0.61,0.51,0.73,,,,,,,,,,,,
SLN-J,10,0,0.14,0,0,0.25,,,,,,,,,,,,
SLN-L,2,78.59,132.98,359.92,1206.98,1185.51,3069.16,14226.72,19518.73,10833.11,12553.37,11576.88,2013.53,847.4,926.56,207.7,35.67,12.37
SLN-L,3,229.97,341.42,814.19,2935.67,3043.77,5181.18,10931.34,15174.61,9356.64,11327.13,11383.52,2241.44,1598.91,1658.58,289.43,20.24,13.21
SLN-L,4,549.42,708.87,1040.39,2912.48,2605.84,3876.37,5957,7627.44,4725.52,5723,5989.38,1871.42,1682.24,1529.38,225.91,12.35,10.53
SLN-L,5,441.19,560.73,715.36,1604.68,1130.84,1279.97,1478.95,1821.24,1285.69,1479.81,1544.52,968.28,811.18,532.77,69.2,4.18,3.5
SLN-L,6,234.28,305.85,428.5,1083.25,675.85,639.9,803.46,1034.54,646.56,804.25,756.91,520.74,465.42,314.53,36.19,2.27,2.13
SLN-L,7,34.99,46.66,73.3,202.25,149.49,161.05,226.27,279.68,170.66,207.89,200.59,96.95,90.99,66.84,7.8,0.46,0.37
SLN-L,8,5.28,6.36,11.37,33.39,26.98,33.15,54.19,62.98,37.54,43.09,44.74,14.52,14.35,11.9,1.25,0,0
SLN-L,9,0.74,1.09,1.64,5.5,4.96,6.72,11.5,12.92,7.76,8.63,9.47,2.86,2.59,2.17,0.27,0,0
