Sample,Upper depth,Lower Depth
SLN-T16-1,15,20
SLN-T16-2,42,47
SLN-T16-3,59,64
SLN-T16-4,74,79
SLN-T16-5,98,104
SLN-T16-6,109,114
SLN-T16-7,116,121
SLN-T16-8,126,131
SLN-T16-9,136,141
SLN-T16-10,146,151
SLN-T6-1,0,7.5
SLN-T6-2,7.5,12.5
SLN-T6-3,12.5,17.5
SLN-T6-4,17.5,22.5
SLN-T6-5,22.5,27.5
SLN-T6-6,27.5,32.5
SLN-T6-7,32.5,37.5
SLN-T6-8,37.5,42.5
SLN-T6-9,42.5,47.5
SLN-T6-10,47.5,52.5
SLN-W7-1,7,13
SLN-W7-2,13,20
SLN-W7-3,45,50
SLN-W7-4,64,70
SLN-W7-5,78,84
SLN-W7-6,101,108
SLN-W7-7,108,115
SLN-W7-8,120,127
SLN-W7-9,137,144
SLN-W7-10,151,158
SLN-W7-11,165,172
SLN-Q-1,0,5
SLN-Q-2,15,20
SLN-Q-3,21,26
SLN-Q-4,26,31
SLN-Q-5,47,52
SLN-Q-6,73,78
SLN-Q-7,88,93
SLN-Q-8,103,108
SLN-Q-9,118,123
SLN-Q-10,133,138
SLN-P-1,0,5
SLN-P-2,5,10
SLN-P-3,20,25
SLN-P-4,35,40
SLN-P-5,50,55
SLN-P-6,65,70
SLN-P-7,80,85
SLN-P-8,95,100
SLN-P-9,110,115
SLN-P-10,125,130
SLN-N-1,0,7
SLN-N-2,7,12
SLN-N-3,12,17
SLN-N-4,17,22
SLN-N-5,22,27
SLN-N-6,27,32
SLN-N-7,32,37
SLN-N-8,37,42
SLN-N-9,42,47
SLN-L-1,0,7
SLN-L-2,7,12
SLN-L-3,12,17
SLN-L-4,17,22
SLN-L-5,22,27
SLN-L-6,27,32
SLN-L-7,32,37
SLN-L-8,37,42
SLN-L-9,42,47
SLN-L-10,47,52
SLN-L-11,52,57
SLN-L-12,57,63
SLN-L-13,62,67
SLN-L-14,67,72
SLN-L-15,72,77
SLN-L-16,77,82
SLN-L-17,82,87
SLN-J-1,0,8
SLN-J-2,8,13
SLN-J-3,13,18
SLN-J-4,18,23
SLN-J-5,23,29
SLN-I-1,0,7.5
SLN-I-2,7.5,12.5
SLN-I-3,12.5,17.5
SLN-I-4,17.5,22.5
SLN-I-5,22.5,27.5
SLN-I-6,27.5,32.5
SLN-I-7,32.5,37.5
SLN-I-8,37.5,42.5
SLN-I-9,42.5,47.5
SLN-I-10,47.5,52.5
SLN-I-11,52.5,57.5
SLN-O-1,0,5
SLN-O-2,5,10
SLN-O-3,10,15
SLN-O-4,15,20
SLN-O-5,20,25
SLN-O-6,25,30
SLN-O-7,30,35
SLN-O-8,35,40
SLN-O-9,40,45
